round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,enc_activation,enc_dim,epochs,last_activation,lr,optimizer,weight_regulizer
100,0.2822177075287875,0.0,0.3098751992395479,0.006849315,64,0.32,relu,128,100,softmax,9.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.061244864411213816,0.0,0.06550136800498178,0.0,16,0.12,sigmoid,64,100,sigmoid,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.2822414377156426,0.0,0.30986169276580416,0.006849315,16,0.12,relu,32,100,softmax,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.08559617803377263,0.0,0.0806641503147883,0.0,128,0.08,sigmoid,128,100,sigmoid,6.04,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.2822407999459435,0.0,0.30986228585243225,0.0,256,0.16,sigmoid,32,100,softmax,1.09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.28222197925343234,0.0,0.30986908119018763,0.006849315,16,0.08,relu,64,100,softmax,2.08,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.28221389125375185,0.005882353,0.30987489223480225,0.0,256,0.2,sigmoid,64,100,softmax,9.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.022193865894394763,0.0,0.024190554803569023,0.0,64,0.16,sigmoid,16,100,sigmoid,5.05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.28221671125468084,0.0,0.30987515392368786,0.006849315,16,0.2,relu,128,100,softmax,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.282214294461643,0.0029411765,0.3098770702538425,0.0,64,0.12,sigmoid,32,100,softmax,8.020000000000001,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.2822168206467348,0.0,0.30987459502808035,0.006849315,16,0.04,relu,32,100,softmax,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.2822163385503432,0.0,0.30987402388494306,0.006849315,16,0.04,relu,128,100,softmax,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
